0.424447,0.416397,0.290573,0.320799,0.468521,0.416964,0.437181,0.375752,0.299721,0.391443,0.495786,0.322138,0.355667,0.45452,0.46963,0.431707,0.461743,0.493541,0.434739,0.420863	0.351431,0.35934,0.2679,0.288772,0.34804,0.376959,0.353782,0.331394,0.293841,0.286846,0.372964,0.279937,0.272425,0.364978,0.33453,0.29264,0.378369,0.317876,0.317139,0.321541	0.0858164,0.0670969,0.0245869,0.0352974,0.143955,0.0474664,0.0986586,0.0506669,0.00644861,0.117827,0.150686,0.0463839,0.0921734,0.10735,0.160281,0.159177,0.101024,0.208353,0.136407,0.114866
0.496751,0.477882,0.366814,0.358424,0.531114,0.462197,0.526814,0.378032,0.317793,0.381477,0.509364,0.3023,0.400495,0.496732,0.518587,0.476774,0.521987,0.531704,0.463374,0.479245	0.287078,0.294482,0.26386,0.253489,0.303955,0.32616,0.30575,0.312134,0.263571,0.269812,0.279737,0.241418,0.260557,0.310426,0.276354,0.239475,0.319309,0.262171,0.236622,0.264482	0.244546,0.213436,0.113987,0.115422,0.27089,0.160185,0.263509,0.0747143,0.0591787,0.124478,0.267782,0.0656745,0.156242,0.220272,0.282756,0.267885,0.243217,0.313191,0.254675,0.245937
0.537332,0.520217,0.40306,0.401473,0.534796,0.47562,0.553999,0.394613,0.338811,0.396493,0.559558,0.32617,0.439107,0.508832,0.52562,0.515044,0.544906,0.552213,0.481268,0.508992	0.464566,0.451275,0.380261,0.378179,0.47627,0.440844,0.500995,0.38912,0.313515,0.344526,0.482855,0.298809,0.414336,0.446714,0.464834,0.418977,0.469064,0.465292,0.40126,0.436264	0.0969736,0.0900915,0.0269259,0.0274644,0.0785275,0.0440019,0.0733673,0.00648977,0.028302,0.0601884,0.105099,0.0303164,0.0302796,0.0803911,0.0804397,0.122502,0.101883,0.116977,0.0991562,0.0934868
0.51034,0.470825,0.37811,0.367726,0.535902,0.453047,0.525351,0.390577,0.316956,0.37569,0.514285,0.305916,0.398633,0.488758,0.520356,0.482478,0.521252,0.531617,0.477142,0.483249	0.285283,0.276884,0.252782,0.250059,0.290371,0.308194,0.286943,0.306794,0.240792,0.251591,0.259171,0.233704,0.246496,0.284911,0.259759,0.228991,0.30134,0.239826,0.236792,0.250891	0.263406,0.223014,0.138573,0.129583,0.290779,0.168361,0.280726,0.0951882,0.0824572,0.137053,0.294347,0.0777725,0.168715,0.236826,0.301327,0.284972,0.260891,0.334429,0.270965,0.264418
0.30029,0.318503,0.215138,0.23741,0.332897,0.375446,0.320609,0.265063,0.188944,0.2529,0.320455,0.238933,0.242683,0.268522,0.278587,0.30831,0.28464,0.321549,0.25707,0.324485	0.364113,0.337567,0.269329,0.296019,0.401028,0.418311,0.398925,0.358042,0.247561,0.285136,0.371869,0.262754,0.320479,0.316954,0.347266,0.355347,0.357534,0.347602,0.296711,0.358885	-0.0716573,-0.0213605,-0.0575236,-0.0630394,-0.0786279,-0.0508506,-0.0898017,-0.102729,-0.0614928,-0.0347406,-0.0583702,-0.0254167,-0.0843573,-0.0529378,-0.076034,-0.0528239,-0.081153,-0.029331,-0.042915,-0.0389333
0.622215,0.590756,0.403768,0.506318,0.65796,0.56504,0.638146,0.496047,0.407842,0.527635,0.65484,0.463366,0.567314,0.598374,0.686176,0.645048,0.658282,0.693058,0.623755,0.637879	0.498318,0.467106,0.325963,0.426054,0.571001,0.469639,0.519309,0.480902,0.360164,0.51936,0.560475,0.444306,0.512345,0.511677,0.591131,0.556914,0.549773,0.607936,0.524311,0.524281	0.179577,0.170775,0.0895972,0.10234,0.139291,0.129862,0.177739,0.0198894,0.0558878,0.0113984,0.149081,0.0240012,0.0774926,0.124955,0.159905,0.137545,0.170053,0.147101,0.147771,0.170677
0.478367,0.454025,0.325402,0.372367,0.470628,0.432077,0.460135,0.364619,0.331508,0.383324,0.492041,0.326716,0.370622,0.453347,0.461291,0.443242,0.479372,0.48129,0.445141,0.467221	0.479833,0.443256,0.330154,0.376115,0.530171,0.436254,0.493277,0.41076,0.313552,0.436143,0.538998,0.337752,0.434799,0.481698,0.534485,0.487444,0.487973,0.563642,0.485523,0.489947	-0.00190332,0.0134823,-0.00532379,-0.00435848,-0.0793387,-0.00514702,-0.0428721,-0.0542682,0.0200389,-0.0634218,-0.0639054,-0.0124058,-0.0765054,-0.0362718,-0.0971464,-0.0563846,-0.0112278,-0.113009,-0.0515159,-0.0294728
0.636377,0.579919,0.419671,0.51266,0.67492,0.557853,0.644692,0.511404,0.399919,0.53793,0.66698,0.467161,0.577401,0.600164,0.687615,0.655393,0.659098,0.700175,0.626285,0.646685	0.501484,0.444486,0.321929,0.41916,0.573323,0.454583,0.513167,0.483191,0.330947,0.5136,0.549909,0.436947,0.513165,0.498018,0.577743,0.554256,0.535521,0.597852,0.516077,0.517122	0.198119,0.182468,0.11301,0.119092,0.165722,0.138356,0.196551,0.037472,0.0794924,0.0336182,0.184882,0.0379632,0.0912842,0.145692,0.182288,0.158835,0.190988,0.175995,0.162838,0.194661
0.193325,0.257164,0.164025,0.179344,0.195459,0.252281,0.198646,0.181661,0.153986,0.189413,0.203358,0.18046,0.151445,0.180182,0.146272,0.175602,0.204295,0.163395,0.177989,0.234282	0.328646,0.336159,0.242511,0.256239,0.377189,0.334611,0.369058,0.312513,0.226874,0.324139,0.378493,0.246537,0.308133,0.304021,0.351802,0.368754,0.352828,0.374608,0.336866,0.366583	-0.144502,-0.0864708,-0.0817375,-0.0805984,-0.196195,-0.089921,-0.183894,-0.138728,-0.0755269,-0.143539,-0.18974,-0.0691541,-0.164358,-0.131016,-0.21668,-0.206525,-0.16007,-0.224985,-0.16901,-0.144731
0.446197,0.449422,0.349374,0.3596,0.47344,0.437436,0.450746,0.40331,0.343791,0.382547,0.435063,0.310339,0.361882,0.438912,0.434284,0.424004,0.474668,0.450293,0.427467,0.461704	0.573229,0.559697,0.427575,0.44202,0.624377,0.537072,0.606019,0.462388,0.371437,0.442999,0.580955,0.339173,0.4769,0.556946,0.607398,0.558545,0.593458,0.6193,0.568427,0.597514	-0.17069,-0.147336,-0.0919336,-0.0979962,-0.214279,-0.130233,-0.213628,-0.0726198,-0.0316928,-0.0727876,-0.195239,-0.032226,-0.139009,-0.156223,-0.23514,-0.176292,-0.165375,-0.234363,-0.186205,-0.18755
