library,COI,RGR
S_1_S123,0,0.024245432
S_10_S169,12,0.029957542
S_1001_S52_L003,50,0.03078749
S_1004_S75_L003,70,0.022384632
S_1007_S311,12,0.03448894
S_101_S15_L003,1,0.032928012
S_1010_S144,5,0.016507414
S_1012_S150,20,0.03760029
S_1013_S145,5,0.019086885
S_102_S245,7.5,0.036946834
S_1020_S139,2.25,0.023420661
S_1022_S29,25,0.015510621
S_1029_S66_L003,0,0.024422424
S_1030_S13,30,0.019214657
S_1031_S380,1,0.024375092
S_1036_S32,10,0.046406807
S_1041_S151,70,0.031008485
S_1045_S231,0,0.018800145
S_1052_S227,20,0.002162689
S_1053_S23,24,0.031940308
S_1054_S345,0.5,0.031940308
S_1057_S302,0.5,0.025209334
S_106_S223,12,0.026399799
S_107_S16,30,0.030226702
S_1075_S38,20,0.035492128
S_1076_S167,30,0.03055059
S_108_S258,6,0.034176613
S_1082_S287,6,0.030341198
S_109_S351,5,0.017335755
S_1093_S116,30,0.021744618
S_1118_S92,5,0.025379938
S_1124_S271,2,0.019292965
S_1125_S30_L003,0,0.028701545
S_1127_S332,0,0.020433025
S_113_S7_L003,2,0.021498463
S_1130_S319,50,0.052250066
S_1132_S315,7.5,0.037138451
S_1134_S91,3,0.038703361
S_1135_S76_L003,18,0.022199874
S_1138_S159,30,0.03249072
S_1140_S60_L003,18,0.026599052
S_1154_S161,15,0.036515806
S_1159_S297,6,0.022700839
S_1160_S11,70,0.021170373
S_1161_S254,3,0.034298009
S_1162_S384,40,0.029180593
S_1177_S24,10,0.011507283
S_1179_S105,40,0.032753416
S_1200_S164,30,0.009490049
S_1202_S72_L003,40,0.024587023
S_1203_S53,0,0.039730071
S_121_S96_L003,0,0.008854883
S_1210_S120,2.5,0.026991922
S_1213_S95_L003,20,0.027209751
S_122_S43_L003,6,0.027517009
S_1223_S229,4,0.034408051
S_1237_S377,0,0.030618714
S_1247_S133,0,0.039941153
S_125_S163,0,0.018381293
S_1257_S89,5,0.025144346
S_1278_S20,0,0.035752715
S_1287_S146,30,0.018079405
