label,x,y,plot_type,plot_num
P1,0.0,72134.34394488831,path,0
P1,11121.57503694092,72134.34394488831,path,0
P1,11578.73445186529,72134.34394488831,path,0
P1,12054.685695281558,72134.34394488831,path,0
P1,12550.201217250997,72134.34394488831,path,0
P1,13066.085219885903,72134.34394488831,path,0
P1,13603.174962537856,72134.34394488831,path,0
P1,14162.34212063655,72134.34394488831,path,0
P1,14744.494200384579,72134.34394488831,path,0
P1,15350.576011604153,72134.34394488831,path,0
P1,15981.57120112609,72134.34394488831,path,0
P1,16638.50384920977,72134.34394488831,path,0
P1,17322.440131584914,72134.34394488831,path,0
P1,18034.49004981268,18539.39324498619,path,0
P1,18775.80923277433,18539.39324498619,path,0
P1,19547.600812211233,18539.39324498619,path,0
P1,20351.11737536015,18539.39324498619,path,0
P1,21187.662997852833,18539.39324498619,path,0
P1,22058.595360179213,18539.39324498619,path,0
P1,22965.32795114923,18539.39324498619,path,0
P1,23909.332361929286,18539.39324498619,path,0
P1,24892.14067437658,18539.39324498619,path,0
P1,25915.34794754741,18539.39324498619,path,0
P1,26980.614806414997,18539.39324498619,path,0
P1,28089.6701369982,65251.639080267676,path,0
P1,29244.313892275215,65251.639080267676,path,0
P1,30446.420013436127,65251.639080267676,path,0
P1,31697.939471215424,65251.639080267676,path,0
P1,33000.90343224039,65251.639080267676,path,0
P1,34357.42655553429,65251.639080267676,path,0
P1,35769.71042452441,65251.639080267676,path,0
P1,37240.047120125,65251.639080267676,path,0
P1,38770.822940693935,65251.639080267676,path,0
P1,40364.52227490075,65251.639080267676,path,0
P1,42023.73163379125,65251.639080267676,path,0
P1,43751.14384859271,105479.5698732166,path,0
P1,45549.56244107258,105479.5698732166,path,0
P1,47421.90617354352,105479.5698732166,path,0
P1,49371.21378589934,105479.5698732166,path,0
P1,51400.64892736972,105479.5698732166,path,0
P1,53513.50529099793,105479.5698732166,path,0
P1,55713.21195917447,105479.5698732166,path,0
P1,58003.338968902324,105479.5698732166,path,0
P1,60387.60310582593,105479.5698732166,path,0
P1,62869.87393642744,105479.5698732166,path,0
P1,65454.18008818017,105479.5698732166,path,0
P1,68144.71578785182,105479.5698732166,path,0
P1,70945.84766856884,105479.5698732166,path,0
P1,73862.12185668935,105479.5698732166,path,0
P1,76898.27134998668,105479.5698732166,path,0
P1,80059.22369911769,105479.5698732166,path,0
P1,83350.10900484277,105479.5698732166,path,0
P1,86776.26824397671,205436.6014124821,path,0
P1,90343.2619375829,205436.6014124821,path,0
P1,94056.87917547951,205436.6014124821,path,0
P1,97923.1470117033,205436.6014124821,path,0
P1,101948.34024618033,205436.6014124821,path,0
P1,106138.99160847819,205436.6014124821,path,0
P1,110501.90236016798,205436.6014124821,path,0
P1,115044.15333300308,205436.6014124821,path,0
P1,119773.11642082946,205436.6014124821,path,0
P1,124696.46654387782,205436.6014124821,path,0
P1,129822.19410485604,205436.6014124821,path,0
P1,135158.61795705694,205436.6014124821,path,0
P1,140714.39890552862,232605.49971189446,path,0
P1,146498.5537632186,232605.49971189446,path,0
P1,152520.4699849052,232605.49971189446,path,0
P1,158789.92090266547,232605.49971189446,path,0
P1,165317.0815876071,232605.49971189446,path,0
P1,172112.54536360683,232605.49971189446,path,0
P1,179187.34099985627,232605.49971189446,path,0
P1,186552.95061011877,232605.49971189446,path,0
P1,194221.32828774615,232605.49971189446,path,0
P1,202204.91950670016,232605.49971189446,path,0
P1,210516.68132006453,232605.49971189446,path,0
P1,219170.1033888304,232605.49971189446,path,0
P1,228179.2298750831,213179.28163749664,path,0
P1,237558.68223512205,213179.28163749664,path,0
P1,247323.68294950688,213179.28163749664,path,0
P1,257490.0802285416,213179.28163749664,path,0
P1,268074.37373329385,213179.28163749664,path,0
P1,279093.7413538929,213179.28163749664,path,0
P1,290566.0670885663,213179.28163749664,path,0
P1,302509.97006866266,213179.28163749664,path,0
P1,314944.83477676584,213179.28163749664,path,0
P1,327890.8425069442,213179.28163749664,path,0
P1,341369.00411819416,213179.28163749664,path,0
P1,355401.19413423294,213179.28163749664,path,0
P1,370010.18624498683,213179.28163749664,path,0
P1,385219.6902673903,213179.28163749664,path,0
P1,401054.3906254815,213179.28163749664,path,0
P1,417539.98641224747,213179.28163749664,path,0
P1,434703.2330982362,213179.28163749664,path,0
P1,452571.9859546287,213179.28163749664,path,0
P1,471175.24526124273,470361.22970657714,path,0
P1,490543.2033728416,470361.22970657714,path,0
P1,510707.2937201327,470361.22970657714,path,0
P1,531700.2418249832,470361.22970657714,path,0
P1,553556.1184126497,470361.22970657714,path,0
P1,576310.3947072184,470361.22970657714,path,0
P1,600000.0,211810.2402610217,path,0
