label,x,y,plot_type,plot_num
P1,0.0,22030.074982907016,path,0
P1,7378.108362474992,22030.074982907016,path,0
P1,7713.296779766835,22030.074982907016,path,0
P1,8063.712850214061,22030.074982907016,path,0
P1,8430.048368069272,22030.074982907016,path,0
P1,8813.02655588745,22030.074982907016,path,0
P1,9213.4034923178,22030.074982907016,path,0
P1,9631.969604760367,22030.074982907016,path,0
P1,10069.551229834215,22030.074982907016,path,0
P1,10527.01224473791,22030.074982907016,path,0
P1,11005.255772722892,22030.074982907016,path,0
P1,11505.225966046737,22030.074982907016,path,0
P1,12027.90986992621,22030.074982907016,path,0
P1,12574.339371169954,32573.224983126518,path,0
P1,13145.5932353378,32573.224983126518,path,0
P1,13742.799236448518,32573.224983126518,path,0
P1,14367.136383440418,32573.224983126518,path,0
P1,15019.837247780395,32573.224983126518,path,0
P1,15702.190396816517,32573.224983126518,path,0
P1,16415.542937678165,32573.224983126518,path,0
P1,17161.30317674585,32573.224983126518,path,0
P1,17940.94339994112,32573.224983126518,path,0
P1,18756.00277932539,32573.224983126518,path,0
P1,19608.090411745925,32573.224983126518,path,0
P1,20498.8884955279,37664.3434412769,path,0
P1,21430.155651483994,37664.3434412769,path,0
P1,22403.730394797894,37664.3434412769,path,0
P1,23421.534764635904,37664.3434412769,path,0
P1,24485.578118652284,37664.3434412769,path,0
P1,25597.961099879427,37664.3434412769,path,0
P1,26760.879783834418,37664.3434412769,path,0
P1,27976.630014029157,37664.3434412769,path,0
P1,29247.61193444327,37664.3434412769,path,0
P1,30576.334727907833,37664.3434412769,path,0
P1,31965.421569754522,37664.3434412769,path,0
P1,33417.61480650964,76692.95958241972,path,0
P1,34935.78136985691,76692.95958241972,path,0
P1,36522.918436557295,76692.95958241972,path,0
P1,38182.15934549971,76692.95958241972,path,0
P1,39916.77978356412,76692.95958241972,path,0
P1,41730.20425250911,76692.95958241972,path,0
P1,43626.012829651205,76692.95958241972,path,0
P1,45607.94823568244,76692.95958241972,path,0
P1,47679.92322358008,76692.95958241972,path,0
P1,49846.028303195264,76692.95958241972,path,0
P1,52110.53981677078,76692.95958241972,path,0
P1,54477.92838133067,76692.95958241972,path,0
P1,56952.86771460864,76692.95958241972,path,0
P1,59540.24386193967,76692.95958241972,path,0
P1,62245.16484233027,76692.95958241972,path,0
P1,65072.97073275117,76692.95958241972,path,0
P1,68029.24421056066,76692.95958241972,path,0
P1,71119.82157487154,76692.95958241972,path,0
P1,74350.80426862024,76692.95958241972,path,0
P1,77728.57092408511,210771.11320020523,path,0
P1,81259.78995563387,210771.11320020523,path,0
P1,84951.43272456167,210771.11320020523,path,0
P1,88810.78730200898,210771.11320020523,path,0
P1,92845.47285713101,210771.11320020523,path,0
P1,97063.45469892316,210771.11320020523,path,0
P1,101473.06000139892,210771.11320020523,path,0
P1,106082.99424316434,210771.11320020523,path,0
P1,110902.35839384458,210771.11320020523,path,0
P1,115940.66688129203,210771.11320020523,path,0
P1,121207.8663750475,210771.11320020523,path,0
P1,126714.3554231353,210771.11320020523,path,0
P1,132471.00498096156,210771.11320020523,path,0
P1,138489.17987284315,315803.63900804694,path,0
P1,144780.76122853527,315803.63900804694,path,0
P1,151358.16993905496,315803.63900804694,path,0
P1,158234.39117810465,315803.63900804694,path,0
P1,165423.00003750826,315803.63900804694,path,0
P1,172938.18832726672,315803.63900804694,path,0
P1,180794.79259314528,315803.63900804694,path,0
P1,189008.32340710232,315803.63900804694,path,0
P1,197594.99598838706,315803.63900804694,path,0
P1,206571.76221575626,315803.63900804694,path,0
P1,215956.34409401153,315803.63900804694,path,0
P1,225767.2687409248,315803.63900804694,path,0
P1,236023.90496362568,227306.536363026,path,0
P1,246746.50149665624,227306.536363026,path,0
P1,257956.2269771885,227306.536363026,path,0
P1,269675.211736319,227306.536363026,path,0
P1,281926.59148894943,227306.536363026,path,0
P1,294734.55300850153,227306.536363026,path,0
P1,308124.38187664206,227306.536363026,path,0
P1,322122.51240228454,227306.536363026,path,0
P1,336756.5798084151,227306.536363026,path,0
P1,352055.47478977486,227306.536363026,path,0
P1,368049.40054910403,227306.536363026,path,0
P1,384769.93242455117,227306.536363026,path,0
P1,402250.08022596024,227306.536363026,path,0
P1,420524.35340310674,227306.536363026,path,0
P1,439628.8291745329,227306.536363026,path,0
P1,459601.22375148744,227306.536363026,path,0
P1,480480.9667975734,1014572.1990561765,path,0
P1,502309.2792711122,1014572.1990561765,path,0
P1,525129.2548038934,1014572.1990561765,path,0
P1,548985.9447769744,1014572.1990561765,path,0
P1,573926.4472614804,1014572.1990561765,path,0
P1,600000.0,197445.37522943015,path,0
