"dataResourceUid","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOccurrences","associatedOrganisms","previousIdentifications","organismRemarks","materialSampleID","eventID","parentEventID","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","samplingEffort","sampleSizeValue","sampleSizeUnit","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinates","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","identificationQualifier","typeStatus","identifiedBy","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","raw_scientificName","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","measurementDeterminedDate","recordedByID","identifiedByID","videos","species","relationshipAccordingTo","subfamily","resourceRelationshipID","eventType","measurementRemarks","measurementValue","relationshipRemarks","resourceID","relationshipEstablishedDate","superfamily","identifierRole","relationshipOfResource","measurementMethod","identifier","provenance","sounds","recordID","rights","source","measurementID","measurementType","measurementUnit","measurementDeterminedBy","measurementAccuracy","degreeOfEstablishment","relatedResourceID","images","dcterms:type"
"dr10574","","2024-05-22","","CC-BY 4.0 (Int)","","","","","","","","HO","HO","Australia's Virtual Herbarium","","PRESERVED_SPECIMEN","","","","","HO519211","109","Thompson, E.J.","","","","","","","","","PRESENT","sheet","","","","","","","","","","","8e8408e9-ba47-4b05-b19e-ca4dae9b81f7","","","","","","","","1992-02-11T00:00:00Z","","42","42","1992","2","11","11 Feb 1992","Frontal dunes","","","","","","","","","","","","","","Australia","AU","Queensland","","","Clinton Lowland, Shoalwater Bay area","Clinton Lowland, Shoalwater Bay area","2.0","","2","","","","","","","","-22.583333","150.7","EPSG:4326","1000.0","0.016667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra (L.) L.","Melaleuca leucadendra","","","","","","","","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca","","leucadendra","","species","","(L.) L.","Broad-leaved Tea-tree","ICBN","","","","","","","","Melaleuca leucadendra","","","","","","","","","","","","","","","","","5c40a570-c219-40d2-852f-228759e874b6","","","","","","","","","","","PhysicalObject"
"dr10574","","2024-05-22","","CC-BY 4.0 (Int)","","","","","","","","HO","HO","Australia's Virtual Herbarium","","PRESERVED_SPECIMEN","","","","","HO316358","6","Knight, K.J.","","","","","","","","","PRESENT","sheet","","","","","","","Cultivated.","","","","85c8b607-2778-4d0c-aacd-7db25b0ae070","","","","","","","","1984-04-03T00:00:00Z","","94","94","1984","4","3","03 Apr 1984","","","","","","","","","","","","","","","Australia","AU","Western Australia","","","Herbarium, South Perth","Herbarium, South Perth","","","","","","","","","","","-31.983333","115.883333","EPSG:4326","1000.0","0.016667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra (L.) L.","Melaleuca leucadendra","","","","","","","","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca","","leucadendra","","species","","(L.) L.","Broad-leaved Tea-tree","ICBN","","","","","","","","Melaleuca leucadendra","","","","","","","","","","","","","","","","","0f97b443-ef32-4bee-ac88-5b48bb4a6396","","","","","","","","","","","PhysicalObject"
"dr10574","","2024-05-22","","CC-BY 4.0 (Int)","","","","","","","","HO","HO","Australia's Virtual Herbarium","","PRESERVED_SPECIMEN","","","","","HO95272","6782","Buchanan, A.M.","","","","","","","","","PRESENT","sheet","","","","","","","","","","","","","","","","","","","1985-05-25T00:00:00Z","","145","145","1985","5","25","25 May 1985","Overhanging the river","","","","","","","","","","","","","","Australia","AU","Queensland","","","Dawson River at bridge, 15km SE of Duaringa","Dawson River at bridge, 15km SE of Duaringa","100.0","","100","","","","","","","","-23.8","149.75","EPSG:4326","1000.0","0.016667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B. Barlow","1987","","","","","","","","","","","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra (L.) L.","Melaleuca leucadendra","","","","","","","","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca","","leucadendra","","species","","(L.) L.","Broad-leaved Tea-tree","ICBN","","","","","","","","Melaleuca leucadendra","","","","","","","","","","","","","","","","","b508c6a7-0601-4721-bb2d-321567583178","","","","","","","","","","","PhysicalObject"
"dr1132","","2009-03-27T08:28:48+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","1","1744","5266","","Mackay District","Junes Land Nature Refuge","Queensland Parks and Wildlife Service","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:3639054","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","469343","","","2001-09-10T00:00:00Z","","253","253","2001","9","10","","","","","","","","","461440","","","","","","","Australia","AU","Queensland","","","Junes Land Nature Refuge - Site 1","","","","","","","","","","","","-21.081456","149.219688","EPSG:4326","500.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","16689","","","","","","","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra","Melaleuca leucadendra","","","","","","","","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca","","leucadendra","","species","","(L.) L.","Broad-leaved Tea-tree","","","","","","","","","Melaleuca leucadendra","","","","","","","","","","","","","","","","","046d81bd-2ddc-4374-b9c1-e86f134aec97","","","","","","","","","","",""
"dr1132","","2009-03-27T08:31:42+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","1","2707","9599","","Russell Cumming's Townsville/Thuringowa botanical records","Russell Cumming's Townsville/Thuringowa botanical records","Queensland Parks and Wildlife Service","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:4539019","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","940514","","","1996-03-05T00:00:00Z","","65","92","1996","","","","","","","","","","","876217","","","","","","","Australia","AU","Queensland","","","Quindalup","","","","","","","","","","","","-19.008333","146.391667","EPSG:4326","900.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","16689","","","","","","","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra","Melaleuca leucadendra","","","","","","","","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca","","leucadendra","","species","","(L.) L.","Broad-leaved Tea-tree","","","","","","","","","Melaleuca leucadendra","","","","","","","","","","","","","","","","","65b7bd6e-21f7-4280-b358-5ea68c42ad7f","","","","","","","","","","",""
"dr1132","","2011-01-21T11:56:09+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","3461","3458","12700","","Survey of Springs of Queensland (Fensham & Fairfax)","Survey of Springs of Queensland (Fensham & Fairfax) - Flora records","Department of Environment and Science","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:5748639","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","1178736","","","2001-01-01T00:00:00Z","","1","365","2001","","","","","","","","","","","1064888","","","","","","","Australia","AU","Queensland","","","Big","","","","","","","","","","","","-18.3409","143.683","EPSG:4326","100.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","16689","","","","","","","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra","Melaleuca leucadendra","","","","","","","","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca","","leucadendra","","species","","(L.) L.","Broad-leaved Tea-tree","","","","","","","","","Melaleuca leucadendra","","","","","","","","","","","","","","","","","66c882e1-e340-44e9-ad97-79afacb94f64","","","","","","","","","","",""
"dr1132","","2018-09-25T13:52:35+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","3461","22","12","","Integrated Biological Information System (IBIS)","Etna Creek Catchment Project","Department of Environment and Science","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:1420405","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","28798","","","1995-09-07T00:00:00Z","","250","250","1995","9","7","","","","","","","","","11790","","","","","","","Australia","AU","Queensland","","","The Caves - Fitzroy River: Fitzroy River bank at Belmont.","","","","","","","","","","","","-23.220089","150.36997","EPSG:4326","500.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","16689","","","","","","","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra","Melaleuca leucadendra","","","","","","","","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca","","leucadendra","","species","","(L.) L.","Broad-leaved Tea-tree","","","","","","","","","Melaleuca leucadendra","","","","","","","","","","","","","","","","","b0d62836-f2de-48b4-b53a-dbed490a830c","","","","","","","","","","",""
"dr1132","","2018-09-25T13:55:16+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","3461","22","23","","Integrated Biological Information System (IBIS)","Curtis Island","Department of Environment and Science","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:1513212","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","29977","","","1994-09-10T00:00:00Z","","253","253","1994","9","10","","","","","","","","","12670","","","","","","","Australia","AU","Queensland","","","Curtis Island: Edge of marine plain, 28 km NNW of Gladstone","","","","","","","","","","","","-23.589811","151.182458","EPSG:4326","500.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","16689","","","","","","","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra","Melaleuca leucadendra","","","","","","","","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca","","leucadendra","","species","","(L.) L.","Broad-leaved Tea-tree","","","","","","","","","Melaleuca leucadendra","","","","","","","","","","","","","","","","","4bbb6223-0ad9-4cb1-8285-e84a69c6ce27","","","","","","","","","","",""
"dr1132","","2011-01-21T11:56:09+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","3461","3458","12700","","Survey of Springs of Queensland (Fensham & Fairfax)","Survey of Springs of Queensland (Fensham & Fairfax) - Flora records","Department of Environment and Science","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:5748632","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","1178702","","","2001-01-01T00:00:00Z","","1","365","2001","","","","","","","","","","","1064927","","","","","","","Australia","AU","Queensland","","","Anthill","","","","","","","","","","","","-18.6897","145.4886","EPSG:4326","100.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","16689","","","","","","","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra","Melaleuca leucadendra","","","","","","","","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca","","leucadendra","","species","","(L.) L.","Broad-leaved Tea-tree","","","","","","","","","Melaleuca leucadendra","","","","","","","","","","","","","","","","","7317fc62-09a0-4eb0-acc6-068986746041","","","","","","","","","","",""
"dr1132","","2011-01-21T11:56:09+10:00","en","CC-BY 4.0 (Int)","Queensland Government","","","","3461","3458","12700","","Survey of Springs of Queensland (Fensham & Fairfax)","Survey of Springs of Queensland (Fensham & Fairfax) - Flora records","Department of Environment and Science","OCCURRENCE","","","","urn:catalog:QGov:DES:WildNet:5748598","","","","","","","","","","","","PRESENT","","","","","","","","","","","","","","","","","1178494","","","1998-01-01T00:00:00Z","","1","365","1998","","","","","","","","","","","1064691","","","","","","","Australia","AU","Queensland","","","littmose","","","","","","","","","","","","-22.0914","146.2663","EPSG:4326","100.0","1.0E-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Confirmed","","16689","","","","","","","https://id.biodiversity.org.au/node/apni/2913904","Melaleuca leucadendra","Melaleuca leucadendra","","","","","","","","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Melaleuca","","leucadendra","","species","","(L.) L.","Broad-leaved Tea-tree","","","","","","","","","Melaleuca leucadendra","","","","","","","","","","","","","","","","","5c25eaa6-1a36-4809-b787-cabd175b2f7b","","","","","","","","","","",""
