site,long,lat,V1,V2,V3
NSW_1071070_S82,-31.19779728 152.9682061,152.9682061,-31.19779728,0.8239,0.176,9.9991e-05
NSW_1071075_S126,-28.60642035 153.5706189,153.5706189,-28.60642035,0.94159,0.0506855,0.00772467
NSW_1071080_S20,-28.60644177 153.5706227,153.5706227,-28.60644177,0.953214,0.0240662,0.0227196
NSW_1071090_S75,-28.47684672 153.5464416,153.5464416,-28.47684672,0.954447,0.0296908,0.0158625
NSW_1071110_S118,-31.1994082 152.9677057,152.9677057,-31.1994082,0.736991,0.262909,9.9991e-05
NSW_1071113_S137,-31.25563895 152.9663093,152.9663093,-31.25563895,0.816187,0.181276,0.0025371
NSW_1071115_S134,-31.1977717 152.9681876,152.9681876,-31.1977717,0.802128,0.194142,0.0037302
NSW_1071118_S136,-31.25555562 152.9661151,152.9661151,-31.25555562,0.747961,0.251939,9.9991e-05
NSW_1071123_S127,-28.60559014 153.5734019,153.5734019,-28.60559014,0.93909,0.0392626,0.0216471
NSW_1071128_S74,-28.47762564 153.5453594,153.5453594,-28.47762564,0.958577,0.00643676,0.0349862
NSW_1071133_S78,-28.47766614 153.5453788,153.5453788,-28.47766614,0.88267,0.0952685,0.0220615
NSW_1071138_S86,-30.18978066 153.1635112,153.1635112,-30.18978066,0.940042,0.0476698,0.0122885
NSW_1071143_S18,-28.64923983 153.6220029,153.6220029,-28.64923983,0.98764,9.9991e-05,0.01226
NSW_1071148_S122,-30.18909682 153.1615244,153.1615244,-30.18909682,0.743036,0.230615,0.026349
NSW_1074318_S85,-29.85196215 153.2605053,153.2605053,-29.85196215,0.860492,0.0881619,0.0513464
NSW_1074324_S57,-33.2845166 151.5521833,151.5521833,-33.2845166,0.106619,0.874835,0.018546
NSW_1074329_S83,-31.25654649 152.9661873,152.9661873,-31.25654649,0.821902,0.177998,9.9991e-05
NSW_1074334_S138,-31.25437969 152.966154,152.966154,-31.25437969,0.718146,0.267761,0.0140929
NSW_1074339_S135,-31.25441977 152.9661785,152.9661785,-31.25441977,0.757849,0.242051,9.9991e-05
NSW_1074398_S22,-30.17570688 153.1868368,153.1868368,-30.17570688,0.898161,0.101739,9.9991e-05
NSW_1074423_S169,-33.2049692 151.5481722,151.5481722,-33.2049692,0.0563243,0.943576,9.9991e-05
NSW_1074428_S162,-33.2049692 151.5481722,151.5481722,-33.2049692,0.122393,0.877507,9.9991e-05
NSW_1074453_S52,-33.2792015 151.5552973,151.5552973,-33.2792015,0.179421,0.820308,0.000271788
NSW_1074458_S32,-33.2087521 151.5499654,151.5499654,-33.2087521,0.284456,0.710178,0.0053658
NSW_1075704_S181,-32.7624922 151.7839244,151.7839244,-32.7624922,0.070607,0.929293,9.9991e-05
NSW_1075705_S177,-32.7619675 151.7834637,151.7834637,-32.7619675,0.0812397,0.91866,9.9991e-05
