V1,V2,V3,V4,V5,V6
p93a6ddc0,p93a6ddc0,152.96688045,-31.2339397125,0.778133,0.2192595,0.002607519375
p328a8440,p328a8440,152.937911922222,-30.2358085555556,0.695806555555556,0.283973361777778,0.0202200084444444
p666c7140,p666c7140,153.1625385,-29.45839101,0.7521069982,0.2153976102,0.03249538
pb659e150,pb659e150,152.730833366667,-31.0331804655556,0.627453810111111,0.356819401111111,0.0157270007777778
p1bff81d0,p1bff81d0,152.029195,-32.549794238,0.29443345,0.6996907991,0.0058758058
p8a9b6b20,p8a9b6b20,152.081416636364,-32.45691435,0.266460261,0.7219669,0.0115728949090909
p0c317820,p0c317820,151.9018063,-32.9012053585714,0.205459712857143,0.790670714285714,0.00386957171428571
pd135bc30,pd135bc30,152.176812364286,-32.5953900278571,0.259425520714286,0.739677071428571,0.000897515571428571
cd809670-90dd-11ea-c60a-73655d76e076,cd809670-90dd-11ea-c60a-73655d76e076,151.990848570588,-32.2370982782353,0.235454391382353,0.757772011764706,0.00677366255882353
df383120-90ba-11ea-c60a-73655d76e076,df383120-90ba-11ea-c60a-73655d76e076,153.597363054545,-28.6175480572727,0.939985909090909,0.0289148167272727,0.0310994090909091
p9c3c9590,p9c3c9590,152.479159746154,-32.2609059969231,0.405231692307692,0.591804153846154,0.00296420561538462
p72bbeb40,p72bbeb40,152.571311715,-32.020030531,0.52360275,0.4680948,0.00830234135
pbb515550,pbb515550,152.76133522,-31.557232623,0.5921612,0.3977951,0.0100437654
pa9710de0,pa9710de0,152.887986616667,-31.3996108875,0.68418825,0.312034608333333,0.0037770505
pe59c2ef0,pe59c2ef0,153.016489,-30.9399409171429,0.757498571428571,0.230659185714286,0.0118422546428571
pb9a5aec0,pb9a5aec0,153.096349183333,-30.5750855758333,0.84035175,0.146930815916667,0.0127173586666667
p831064a0,p831064a0,153.15039328,-30.305563453,0.8646786,0.11891322,0.0164082482
p60668f30,p60668f30,151.7326226,-32.955888362,0.1968635581,0.7941033,0.0090330005
15866,15866,143.11,-12.43,0.108956461833333,0.0905637285,0.800479833333333
20861,20861,146.0054,-18.1532,0.178010666666667,0.0129107401666667,0.809078666666667
15869,15869,143.19,-13.44,0.02374596,9.99903333333333e-05,0.976154
