IID,Infectio Type on Retested
1,0
2,;N
3,3+
4,3+
5,3+
6,;1N+
7,2CN
8,3C
9,3+
10,3C
14,0
15,0
16,3+
19,3+
20,0
22,0
24,3+
25,0
27,;N
28,0
31,;N
32,0
35,
36,3+
37,12CN
39,0
41,0
43,;
45,3
49,;1N
51,
55,0
57,;+
61,0
62,;N
63,0
65,3+
66,3+
68,0
71,;CN
81,3C
82,0
83,0
85,;N
87,3+
89,0
90,2CN
94,3C
97,1N
98,3
99,0
101,1CN
102,2C
103,;1N
106,3C
107,3+
108,3C
109,;
112,;
113,;
116,0
118,;
120,;
121,0
122,;
123,0
124,0
125,0
126,;1-C
127,0
128,0
129,0
130,0
131,0
132,0
133,3+
134,3+
136,0
137,;1N
138,1CN
139,3+
140,3+
141,;CN
142,;
143,;CN
145,0
146,
147,;1CN
148,;CN
149,0
150,3C
151,0
152,;N
153,;CN
154,;N
155,1CN
157,3+
159,3
161,3
163,3+
165,3+
169,2CN
171,33+
173,2+C
175,;N
177,3+
179,3+
181,;C
182,3+ TO 4
183,3+
184,3+
185,0
186,3+
187,3+
188,1+CN
189,3+
190,3+
192,3
193,0
195,0
196,0
197,;C
198,0
199,;N
205,
206,0
209,0
210,0
211,0
212,0
218,3+
221,0
225,0
228,;CN
229,2CN
231,3+
233,3+
237,2+C
242,0
245,0
248,3+
249,;C
253,0
254,
255,0
256,0
258,0
259,3+
261,3CN
264,0
266,;+CN
268,3
269,1C
272,4
273,0
274,0
276,;C
279,
283,0
285,3C
289,;
291,0
292,;C
293,0
294,0
295,;CN
297,3+
298,3+
299,;
302,3+
304,0
305,0
325,0
327,1N
328,2CN
331,0
334,0
336,;
337,4
339,0
340,3+
341,33+
344,3C
349,3+
351,
357,3+
358,0
361,;CN
370,3+
371,;1CN
373,0
374,0
375,3+
376,0
377,3+
378,3+
379,;
380,3+
381,3+
382,3+
384,
385,3+
386,3C
387,0
389,3+
391,
392,0
393,
394,0
395,12CN
396,0
397,;1N
398,3+
399,0
400,0
401,0
402,3C
406,3+
407,0
411,0
413,0
415,0
417,3C
419,3+
421,;
425,0
427,0
429,0
437,;1CN
439,0
440,0
442,3+
449,3C
450,;CN
451,0
452,3
453,0
454,3C
469,3+
470,3+
471,1N
473,2CN
474,23CN
475,3+
476,3+
477,0
479,3+
481,;
483,;
486,3+
487,;
488,3+
493,;
494,;1CN
496,23C
497,33+C
499,3CN
500,1+N
501,0
502,;
505,;
507,0
508,0
509,0
511,0
512,0
514,0
515,0
516,0
517,3+
518,2C
519,3
520,
522,3+
523,0
524,;
525,0
528,3+
529,;
530,0
533,3C
534,3+
535,3+
537,3+
541,3+
542,2C
544,3CN
545,1+CN
547,2+CN
550,3+
552,;1CN
555,2C
557,0
559,3
560,0
563,0
564,2CN
565,3C
567,0
572,0
574,0
577,
579,0
581,;1C
583,0
585,0
587,
590,0
591,3+
597,3C
599,3+
611,3
622,0
625,33+C
626,;C
627,3
628,2C
629,3+
630,3+
631,3+
635,2CN
636,3+
637,0
638,;
640,0
641,;
642,
644,0
645,0
646,;
648,;
649,33+
650,33+
651,4
652,3+
653,3C
654,3
656,3C
657,3+
658,3+TO4
659,3+
662,1C
665,0
673,;
674,0
679,;
683,;CN
685,3C
686,3+
687,3+
692,3+
694,3
695,3+
696,3+
697,3+
698,3+
699,;
700,3+
701,3+
702,3+
703,3+
704,3C
706,;C
707,3+
709,3+
711,3+
712,23C
713,3+
714,3C
716,2+C
717,3+
718,1CN
726,3+
732,3CN
733,;1CN
734,11+2+C
735,33+
736,2CN
737,33+
738,3C
740,0
741,3+
742,3+
743,1C
748,3+
757,3+
758,3+
762,3+
764,3+
765,3C
769,;
770,;C
772,0
774,0
779,0
782,3C
790,3+
791,3+
795,0
797,0
799,
801,0
803,0
805,3
809,3+
811,3+
813,3+
815,0
819,;
822,;C
824,;C
825,;C
826,3
829,4
830,3+
831,3+
832,3+
833,3CN
834,3+
835,3
837,3+
838,3+
840,3+
844,0
846,0
847,3+
848,0
849,3+
853,3+
856,3+
861,3+
865,3+
866,2CN
867,3C
868,;CN
869,2C
872,0
874,3+
879,;C
881,3+
882,3+
884,3C
885,;1N
886,3C
888,3C
893,
895,0
901,
905,;CN
907,0
914,3+
917,3+
924,3C
927,0
929,0
932,;C
934,0
937,;
948,3C
953,3C
954,;1CN
958,0
961,3C
962,3+
963,;
966,3+
967,3
969,;
970,2CN
972,0
973,33+C
978,0
979,0
980,0
981,0
982,2CN
983,0
984,;
985,;
986,3+
987,0
988,3
989,;C
991,0
992,;+
993,;CN
998,3+
999,3+
1001,3+
1004,3+
1006,3+
1007,3
1009,0
1010,;C
1012,3+
1013,;1N
1016,;1-C
1017,3+
1019,1CN
1020,23C
1021,0
1022,3+
1023,
1025,3C
1026,3+
1027,3+
1029,0
1030,33+
1031,;1CN
1036,3+
1041,3+
1043,3+
1045,0
1048,12CN
1051,2CN
1052,3+
1053,3C
1054,1N
1055,;CN
1057,;N
1058,;C
1059,
1063,0
1064,0
1070,3+
1075,3+
1076,3C
1079,3+
1081,0
1082,2C
1091,0
1092,12C
1093,3C
1095,
1099,0
1101,
1103,3C
1111,0
1118,;
1120,0
1124,;
1125,0
1127,0
1129,3C
1130,3+
1131,3+
1132,2C
1133,3
1134,3
1135,3C
1138,3C
1140,3C
1143,3+
1147,3+
1154,3+
1155,3+
1156,3C
1159,2C
1160,3+
1161,3
1162,4
1163,3C
1164,3+
1172,0
1177,3+
1179,3+
1185,0
1189,3+
1193,3+
1194,4
1200,3+ TO 4
1202,3+TO4
1203,1C
1205,;C
1210,;1-N
1213,3+
1215,2CN
1217,;1N
1219,0
1223,;C
1225,3+
1227,0
1237,0
1238,;
1243,0
1245,0
1247,0
1248,0
1249,3+
1255,;C
1256,3+
1257,;
1276,0
1278,0
1280,;
1284,0
1285,;
1287,3+
1289,3C
1290,3C
1291,3+
1292,3
1294,2C
1296,;C
1297,3+
1302,3+
1304,0
1305,3+
1306,3C
1308,3+
1309,3+
1312,0
1313,;C
1315,3+
1317,;CN
1323,3+
1324,3+
1326,3+
1328,3C
1329,2C
1330,3+
1334,3+
1335,3
1336,3+
1337,3C
1340,;
1343,1+CN
1344,3+
1356,0
1359,0
1370,0
1373,;C
1374,0
1377,3CN
1379,;
1380,;C
1383,2CN
1384,0
1390,3+
1393,0
1395,3+
1396,3
1397,0
1403,2CN
1404,0
1405,0
1406,3C
1407,;
1408,3+
