"LIBRARY","Infectio.Type.on.Retested"
"S_1007_S311","3"
"S_102_S245","2C"
"S_1031_S380",";1CN"
"S_1045_S231","0"
"S_1052_S227","3+"
"S_1054_S345","1N"
"S_1057_S302",";N"
"S_106_S223","3C"
"S_1082_S287","2C"
"S_108_S258","3C"
"S_109_S351",";"
"S_1124_S271",";"
"S_1127_S332","0"
"S_1130_S319","3+"
"S_1132_S315","2C"
"S_1159_S297","2C"
"S_1161_S254","3"
"S_1162_S384","4"
"S_1223_S229",";C"
"S_1237_S377","0"
"S_129_S310","0"
"S_1305_S246","3+"
"S_130_S333","0"
"S_1315_S322","3+"
"S_1317_S208",";CN"
"S_1324_S206","3+"
"S_1328_S372","3C"
"S_1343_S366","1+CN"
"S_137_S285",";1N"
"S_1383_S323","2CN"
"S_1404_S202","0"
"S_1407_S312",";"
"S_140_S320","3+"
"S_1423_S318","3+"
"S_1430_S329",";CN"
"S_1431_S278","0"
"S_1437_S292",";"
"S_1441_S235","33+"
"S_1442_S328","0"
"S_1452_S275","3+"
"S_1472_S295","0"
"S_1488_S316",";CN"
"S_148_S249",";CN"
"S_1496_S272","3+"
"S_150_S251","3C"
"S_1513_S327","0"
"S_1518_S240","1C"
"S_1549_S342","0"
"S_1573_S236",";1N"
"S_1584_S296","3C"
"S_1599_S343","3+"
"S_1619_S303","3+"
"S_1621_S339","3C"
"S_1623_S378","1+2CN"
"S_1629_S373","3+"
"S_1631_S361","3+"
"S_1637_S325","3"
"S_1639_S204",";C"
"S_1643_S375",";CN"
"S_1649_S331",";"
"S_1653_S294",";"
"S_165_S284","3+"
"S_1677_S221","0"
"S_1683_S338",";CN"
"S_1689_S192","0"
"S_1699_S367",";CN"
"S_171_S219","33+"
"S_1723_S369",";CN"
"S_1728_S376","3+"
"S_1736_S359","3C"
"S_1742_S357","2N"
"S_1749_S247",";1-N"
"S_1779_S226","3+"
"S_1810_S213","3"
"S_1813_S253","2CN"
"S_1817_S210","3CN"
"S_1818_S238","0"
"S_1825_S198","3+"
"S_1837_S256","3+"
"S_1839_S299","3CN"
"S_183_S263","3+"
"S_1841_S250","0"
"S_1865_S374","2CN"
"S_1874_S244","3+"
"S_1877_S262","3+"
"S_1899_S193",";C"
"S_1900_S242","3C"
"S_1936_S218",";CN"
"S_1952_S293","1N"
"S_1969_S291","3C"
"S_1973_S267","3+"
"S_197_S207",";C"
"S_198_S304","0"
"S_2010_S200","0"
"S_2014_S264",";"
"S_2015_S266","0"
"S_2037_S371","0"
"S_2073_S215",";"
"S_2099_S335",";1N"
"S_209_S379","0"
"S_2103_S301","3"
"S_2104_S224","3C"
"S_2105_S269","0"
"S_2107_S349",";1C"
"S_2115_S280","3+"
"S_2116_S350",";C"
"S_2135_S234",";N"
"S_2140_S363","0"
"S_2145_S212","0"
"S_2155_S383",";"
"S_2187_S360","3+"
"S_2192_S307","3CN"
"S_2193_S216","2CN"
"S_2201_S214","0"
"S_2203_S277","0"
"S_2212_S230","0"
"S_2214_S290",";1CN"
"S_2226_S298","3C"
"S_2228_S346","0"
"S_2232_S273","3"
"S_2271_S195",";CN"
"S_2299_S281","3+"
"S_2302_S259","3+"
"S_2307_S288","33+"
"S_2319_S337","0"
"S_231_S260","3+"
"S_2323_S355",";"
"S_2351_S197","0"
"S_2358_S289",";C"
"S_2370_S336",";1CN"
"S_2375_S268","3+"
"S_2395_S194","3C"
"S_242_S324","0"
"S_248_S252","3+"
"S_261_S368","3CN"
"S_269_S228","1C"
"S_272_S326","4"
"S_285_S191","3C"
"S_28_S364","0"
"S_294_S317","0"
"S_298_S354","3+"
"S_304_S341","0"
"S_325_S347","0"
"S_381_S205","3+"
"S_382_S276","3+"
"S_389_S330","3+"
"S_394_S237","0"
"S_398_S239","3+"
"S_402_S309","3C"
"S_415_S222","0"
"S_421_S358",";"
