Restore & Renew species list (select),Tissue sample barcode,FID,Location Lat,Location Long,Height (m),Rust infection,Leaves and shoot infection %,Rust on leaves and shoots score 1-5,Minor branch dieback,Major branch dieback,Crown density %,Notes
Melaleuca quinquenervia,NSW1079654,NSW_1079654,-33.20289403,151.5474202,8,0A,1-May,NA,no,no,45,
Melaleuca quinquenervia,NSW1079653,NSW_1079653,-33.20286067,151.5474484,17,0A,Oct-50,NA,no,no,50,
Melaleuca quinquenervia,NSW1074423,NSW_1074423,-33.2049692,151.5481722,4,0,NA,NA,no,no,35,
Melaleuca quinquenervia,NSW1074428,NSW_1074428,-33.20493702,151.5481819,14,0A,5-Oct,NA,no,no,60,
Melaleuca quinquenervia,NSW1074429,NSW_1074429,-33.20594131,151.5485014,10,0A,Oct-50,NA,no,no,40,
Melaleuca quinquenervia,NSW1074458,NSW_1074458,-33.2087521,151.5499654,13,0A,1-May,NA,yes,no,30,
Melaleuca quinquenervia,NSW1079687,NSW_1079687,-33.20875621,151.5500155,10,0A,Oct-50,NA,yes,no,25,
Melaleuca quinquenervia,NSW1079707,NSW_1079707,-33.21065443,151.5512577,11,0A,Oct-50,NA,no,no,45,
Melaleuca quinquenervia,NSW1079702,NSW_1079702,-33.21041547,151.5512684,17,0,5-Oct,NA,no,no,90,
Melaleuca quinquenervia,NSW1079675,NSW_1079675,-33.21130892,151.5512911,10,0A,Oct-50,NA,no,no,40,
Melaleuca quinquenervia,NSW1074433,NSW_1074433,-33.28540365,151.5515136,21,0A,1-May,NA,no,no,70,
Melaleuca quinquenervia,NSW1079671,NSW_1079671,-33.28463505,151.5516779,16,0A,50-90,NA,no,no,75,
Melaleuca quinquenervia,NSW1079670,NSW_1079670,-33.28465949,151.5516915,15,0A,50-90,NA,no,no,50,
Melaleuca quinquenervia,NSW1079682,NSW_1079682,-33.28602382,151.551742,16,0A,5-Oct,NA,no,no,65,
Melaleuca quinquenervia,NSW1079680,NSW_1079680,-33.28603172,151.5517433,12,0A,Oct-50,NA,no,no,45,
Melaleuca quinquenervia,NSW1079712,NSW_1079712,-33.2118398,151.5518817,14,0A,5-Oct,NA,no,no,45,
Melaleuca quinquenervia,NSW1079672,NSW_1079672,-33.2845166,151.5521833,9,0A,1-May,NA,no,no,85,
Melaleuca quinquenervia,NSW1079677,NSW_1079677,-33.28459471,151.552218,13,0A,1-May,NA,no,no,45,
Melaleuca quinquenervia,NSW1079681,NSW_1079681,-33.28357552,151.5522239,20,0A,1-May,NA,no,no,60,
Melaleuca quinquenervia,NSW1079717,NSW_1079717,-33.20923622,151.5524043,16,0A,1-May,NA,no,no,30,
Melaleuca quinquenervia,NSW1074453,NSW_1074453,-33.2792015,151.5552973,14,0A,90+,NA,yes,no,55,
Melaleuca quinquenervia,NSW1074324,NSW_1074324,-33.2802966,151.5553762,16,0A,1-May,NA,yes,no,55,
Melaleuca quinquenervia,NSW1079658,NSW_1079658,-32.75007599,152.1210819,16,0,NA,NA,no,no,50,
Melaleuca quinquenervia,NSW1079709,NSW_1079709,-32.74897577,152.1211969,6,0A,5-Oct,NA,no,no,50,
Melaleuca quinquenervia,NSW1079703,NSW_1079703,-32.74896662,152.1212028,9,0A,Oct-50,NA,no,no,70,
Melaleuca quinquenervia,NSW1079708,NSW_1079708,-32.748032,152.1212337,12,0A,5-Oct,NA,no,no,45,
Melaleuca quinquenervia,NSW1079697,NSW_1079697,-32.74757274,152.1213281,13,0A,1-May,NA,no,yes,35,
Melaleuca quinquenervia,NSW1079713,NSW_1079713,-32.75081717,152.1217409,10,0A,1-May,NA,no,no,85,
Melaleuca quinquenervia,NSW1079718,NSW_1079718,-32.75083052,152.1217611,9,0,NA,NA,no,no,55,
Melaleuca quinquenervia,NSW1079692,NSW_1079692,-32.75247506,152.1225791,16,0,NA,NA,no,no,85,
Melaleuca quinquenervia,NSW1079728,NSW_1079728,-32.75247562,152.1225817,17,0,NA,NA,no,no,55,
Melaleuca quinquenervia,NSW1079723,NSW_1079723,-32.75014513,152.1239062,14,0,NA,NA,no,no,60,
Melaleuca quinquenervia,NSW1079734,NSW_1079734,-32.59184361,152.272363,16,0A,1-May,NA,no,no,85,
Melaleuca quinquenervia,NSW1079737,NSW_1079737,-32.59188917,152.2724035,12,0A,Oct-50,NA,no,no,70,
Melaleuca quinquenervia,NSW1079715,NSW_1079715,-32.59141373,152.2735029,16,0A,1-May,NA,no,no,40,
Melaleuca quinquenervia,NSW1079729,NSW_1079729,-32.58534845,152.281299,18,0A,1-May,NA,no,no,45,
Melaleuca quinquenervia,NSW1079724,NSW_1079724,-32.58366008,152.2830159,16,0A,Oct-50,NA,no,no,65,
Melaleuca quinquenervia,NSW1079727,NSW_1079727,-32.58364896,152.2830206,19,0A,Oct-50,NA,no,no,70,
Melaleuca quinquenervia,NSW1079722,NSW_1079722,-32.58144257,152.2852374,18,0A,1-May,NA,no,no,30,
