"NSWID","sd_COI","sqrt_mean_COI","seedling_number","rust_infection","LeavesShootInfect","latitude","longitude"
"NSW1071070",26.4037034439405,5.03984126734166,10,"0A",0,-31.19779728,152.9682061
"NSW1071075",10.7459848537112,2.80305955290694,7,"0A",0,-28.60642035,153.5706189
"NSW1071080",21.2102569527104,3.04138126514911,6,"0A",0,-28.60644177,153.5706227
"NSW1071090",2.23207142742853,1.36930639376292,8,"0A",0,-28.47684672,153.5464416
"NSW1071110",18.6279360101972,3.3166247903554,7,"0A",0,-31.1994082,152.9677057
"NSW1071113",3.46410161513775,1.4142135623731,3,"0A",0,-31.25563895,152.9663093
"NSW1071115",12.0954536913669,3.5213633723318,5,"0A",0,-31.1977717,152.9681876
"NSW1071118",9.81318557406875,2.52762514801718,9,"0A",0,-31.25555562,152.9661151
"NSW1071123",1.72240142436851,1.47196014438797,6,"0A",0,-28.60559014,153.5734019
"NSW1071128",2.15146180044822,0.957427107756338,12,NA,NA,-28.47762564,153.5453594
"NSW1071133",17.9846385068542,3.4132096331752,10,"0A",0,-28.47766614,153.5453788
"NSW1071138",2.73302843827949,1.59687194226713,10,"0A",0,-30.18978066,153.1635112
"NSW1071143",13.8506645721752,3.22631227705734,11,"0A",0,-28.6042916,153.5739313
"NSW1071148",27.019858017257,5.69688910323393,11,"0A",0,-30.18909682,153.1615244
"NSW1074318",1.60208197875972,0.912870929175277,6,"0A",0,-29.85196215,153.2605053
"NSW1074324",0,0,4,"0A",0,-33.2845166,151.5521833
"NSW1074329",2.42212028327799,1.29099444873581,6,"0A",0,-31.25654649,152.9661873
"NSW1074334",10.1770048919821,2.39045721866879,7,"0A",0,-31.25437969,152.966154
"NSW1074339",7.02292165494024,2.28348105187797,7,"0A",0,-31.25441977,152.9661785
"NSW1074398",12.7279220613579,3,2,"0A",0,-30.17570688,153.1868368
"NSW1074423",13.6177988105437,2.78886675511359,18,NA,NA,-33.2049692,151.5481722
"NSW1074428",NA,0,1,"0A",0,-33.2049692,151.5481722
"NSW1074429",7.88854654969258,3.40954542424646,4,"0A",0,-33.20594131,151.5485014
"NSW1074433",38.3015991833239,5.7835974963685,5,"0A",0,-33.28540365,151.5515136
"NSW1074453",33.291640592397,4.65474668125631,3,"0A",0,-33.2792015,151.5552973
"NSW1074458",8.23103881657716,2.34520787991171,3,"0A",0,-33.2087521,151.5499654
"NSW1075704",17.469974241538,4.69041575982343,12,NA,NA,-32.7624922,151.7839244
"NSW1075705",8.16715256086116,2.10441712323661,14,NA,NA,-32.7619675,151.7834637
"NSW1075706",14.142135623731,3.16227766016838,4,NA,NA,-32.7629435,151.7841001
"NSW1075707",5,1.58113883008419,8,NA,NA,-32.7619695,151.7834591
"NSW1075708",12,2.44948974278318,8,NA,NA,-32.7626059,151.7842473
"NSW1075709",11.2259844678642,2.6371472189746,22,NA,NA,-32.7677709,151.7871565
"NSW1075710",5.15590276608601,2.12132034355964,14,NA,NA,-32.7677709,151.7871565
"NSW1075711",1.88982236504614,0.845154254728517,14,NA,NA,-32.7676678,151.7873916
"NSW1075712",13.1147068482024,2.61007662722764,16,NA,NA,-32.7677112,151.7874748
