"POS" "blst_amount.A" "blst_amount.B"
"1050270" "129" "125"
"13596673" "24" "25"
"19595564" "22" "26"
"9085857" "1" "1"
"14892567" "3" "4"
"14892576" "3" "4"
"14892592" "3" "4"
"4734143" "14" "21"
"5601645" "13" "13"
"9495576" "3" "5"
"9495917" "4" "6"
"9495939" "4" "6"
"9495957" "4" "6"
"9591283" "1" "1"
"9591293" "1" "1"
"12542506" "219" "237"
"16733200" "1" "4"
"16775593" "2" "8"
"16775594" "2" "8"
"16794389" "2" "5"
"6805463" "12" "10"
"9405233" "30" "26"
"9405246" "30" "26"
"9405250" "30" "26"
"9405253" "30" "26"
"9405264" "32" "27"
"9405273" "34" "29"
"9405275" "34" "29"
"10569349" "2" "2"
"10569378" "1" "2"
"11958724" "7" "6"
"14859434" "6" "5"
"14859451" "6" "5"
"15323868" "1" "1"
"18037821" "16" "13"
"21867058" "1" "1"
"21867343" "1" "1"
"21867873" "1" "1"
"21868837" "1" "1"
"21871022" "1" "1"
"21871084" "1" "1"
"5223748" "2" "3"
"9572433" "9" "6"
"11086695" "1" "1"
"25435350" "5" "2"
"25961243" "5" "3"
"675385" "3" "1"
"12343799" "3" "3"
"1459269" "5" "3"
"1543943" "68" "62"
"16729536" "5" "2"
"16729556" "9" "4"
"2063272" "13" "12"
"2613181" "9" "15"
"3906534" "16" "3"
"4072047" "3" "1"
"4155402" "4" NA
"4299239" "13" "3"
"5634901" "4" "7"
"6358657" "17" "13"
"6539365" "1" "1"
"6577289" "2" "2"
"7420560" "11" "13"
"7874640" "3" "8"
"7874642" "3" "8"
"9963740" "2" "1"
"9963764" "1" NA
"9963977" "1" NA
"10760864" "4" "4"
"14028560" "16042" "19422"
"15433880" "43" "44"
"15433946" "5" "4"
"15434114" "4" "4"
"15434294" "4" "4"
"15434318" "4" "4"
"15434549" "3" "4"
"15434865" "3" "4"
"15435007" "3" "3"
"15435066" "3" "3"
"15435829" "4" "4"
"15435845" "4" "4"
"15435896" "4" "4"
"15436031" "4" "4"
"19191854" "3" "2"
"19192912" "1" "1"
"19193446" "1" "1"
"19193513" "1" "1"
"19193541" "1" "1"
"19193561" "1" "1"
"19193650" "1" "1"
"19193657" "1" "1"
"19193659" "1" "1"
"19193761" "1" "1"
"19193827" "1" "1"
"19194937" "1" "1"
"19197088" "1" "1"
"19198643" "1" "1"
"19200191" "1" "1"
"19200270" "1" "1"
"19200464" "1" "1"
"19200545" "1" "1"
"19200773" "1" "1"
"19201125" "1" "1"
"19201192" "1" "1"
"19201200" "1" "1"
"19201236" "1" "1"
"19201342" "1" "1"
"19201476" "1" "1"
"19202027" "1" "1"
"19202166" "1" "1"
"19202167" "1" "1"
"19202400" "1" "1"
"19202625" "1" "1"
"19202648" "1" "1"
"19202800" "1" "1"
"19203066" "1" "1"
"19203414" "1" "1"
"19203474" "1" "1"
"19203475" "1" "1"
"19203501" "1" "1"
"19203562" "1" "1"
"19203576" "1" "1"
"19203583" "1" "1"
"19203801" "1" "1"
"19204045" "1" "1"
"19204270" "1" "1"
"19204372" "1" "1"
"19204414" "1" "1"
"19204492" "1" "1"
"19204804" "1" "1"
"19204848" "1" "1"
"19204935" "1" "1"
"19205156" "1" "1"
"19205202" "1" "1"
"19205395" "1" "1"
"19205502" "1" "1"
"19205625" "1" "1"
"19205679" "1" "1"
"19205767" "1" "1"
"19205861" "1" "1"
"19205887" "1" "1"
"19206118" "1" "1"
"19206176" "1" "1"
"19206230" "1" "1"
"19206296" "1" "1"
"19206349" "1" "2"
"19206553" "1" "1"
"19206934" "1" "1"
"19207545" "1" "1"
"19207749" "1" "1"
"19207828" "1" "1"
"19207988" "1" "1"
"19208031" "1" "1"
"19208091" "1" "1"
"19208371" "1" "1"
"19208373" "1" "1"
"19208382" "1" "1"
"19208402" "1" "1"
"19208438" "1" "1"
"19208502" "1" "1"
"19208517" "1" "1"
"19208563" "1" "1"
"19208583" "1" "1"
"19208628" "1" "1"
"19208694" "1" "1"
"19208897" "1" "1"
"19209242" "1" "1"
"19209332" "1" "1"
"19209359" "1" "1"
"19209554" "1" "1"
"19209662" "1" "1"
"19209744" "1" "1"
"19210104" "1" "1"
"19210121" "2" "1"
"19210139" "2" "1"
"19210174" "2" "1"
